pdf_name,run_idx,group,overall_score_100,overall_score_10,quality_score_100,coverage_score_100,avg_signal_score_0to5,total_items,signal_count,good_items,positive_items,pool_size,source_pdf,parsed_json,result_json,general_score_100,general_score_10,general_quality_score_100,general_coverage_score_100,general_signal_count,proposed_research_score_100,proposed_research_score_10,proposed_research_quality_score_100,proposed_research_coverage_score_100,proposed_research_signal_count,training_development_score_100,training_development_score_10,training_development_quality_score_100,training_development_coverage_score_100,training_development_signal_count,sites_support_score_100,sites_support_score_10,sites_support_quality_score_100,sites_support_coverage_score_100,sites_support_signal_count,wpcc_score_100,wpcc_score_10,wpcc_quality_score_100,wpcc_coverage_score_100,wpcc_signal_count,application_form_score_100,application_form_score_10,application_form_quality_score_100,application_form_coverage_score_100,application_form_signal_count
IC00351_before.pdf,1,group_a,85.5,8.55,85.5,96.55,4.2232,31,112,26,28,111,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\data\before\IC00351_before.pdf,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\data\experiments\results\parsed_cache\IC00351_before.json,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\data\experiments\results\group_a_IC00351_before_run_01\IC00351_before_group_a_IC00351_before_run_01_scored.json,96.0,9.6,96.0,100.0,23,77.5,7.75,77.5,87.5,32,86.7,8.67,86.7,100.0,12,86.2,8.62,86.2,100.0,16,93.3,9.33,93.3,100.0,18,73.3,7.33,73.3,100.0,11
IC00355_before.pdf,1,group_a,50.3,5.03,50.3,65.52,2.5268,31,112,10,19,111,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\data\before\IC00355_before.pdf,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\data\experiments\results\parsed_cache\IC00355_before.json,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\data\experiments\results\group_a_IC00355_before_run_01\IC00355_before_group_a_IC00355_before_run_01_scored.json,82.3,8.23,82.3,100.0,23,31.2,3.12,31.2,50.0,32,0.0,0.0,0.0,0.0,12,75.0,7.5,75.0,100.0,16,33.3,3.33,33.3,50.0,18,80.0,8.0,80.0,100.0,11
IC00361_before.pdf,1,group_a,42.5,4.25,42.5,86.21,2.2589,31,112,8,25,2,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\data\before\IC00361_before.pdf,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\data\experiments\results\parsed_cache\IC00361_before.json,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\data\experiments\results\group_a_IC00361_before_run_01\IC00361_before_group_a_IC00361_before_run_01_scored.json,30.0,3.0,30.0,100.0,23,64.2,6.42,64.2,100.0,32,0.0,0.0,0.0,0.0,12,26.2,2.62,26.2,100.0,16,61.1,6.11,61.1,83.33,18,73.3,7.33,73.3,100.0,11
IC00362_before.pdf,1,group_a,85.6,8.56,85.6,96.55,4.3482,31,112,25,28,89,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\data\before\IC00362_before.pdf,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\data\experiments\results\parsed_cache\IC00362_before.json,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\data\experiments\results\group_a_IC00362_before_run_01\IC00362_before_group_a_IC00362_before_run_01_scored.json,83.0,8.3,83.0,100.0,23,90.0,9.0,90.0,100.0,32,93.3,9.33,93.3,100.0,12,85.0,8.5,85.0,100.0,16,78.9,7.89,78.9,83.33,18,83.3,8.33,83.3,100.0,11
IC00364_before.pdf,1,group_a,84.9,8.49,84.9,93.1,4.1429,31,112,25,27,78,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\data\before\IC00364_before.pdf,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\data\experiments\results\parsed_cache\IC00364_before.json,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\data\experiments\results\group_a_IC00364_before_run_01\IC00364_before_group_a_IC00364_before_run_01_scored.json,95.0,9.5,95.0,100.0,23,85.0,8.5,85.0,87.5,32,86.7,8.67,86.7,100.0,12,86.2,8.62,86.2,100.0,16,70.0,7.0,70.0,83.33,18,86.7,8.67,86.7,100.0,11
IC00351_after.pdf,1,group_b,88.9,8.89,88.9,96.55,4.4821,31,112,28,28,103,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\data\after\IC00351_after.pdf,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\data\experiments\results\parsed_cache\IC00351_after.json,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\data\experiments\results\group_b_IC00351_after_run_01\IC00351_after_group_b_IC00351_after_run_01_scored.json,96.0,9.6,96.0,100.0,23,93.8,9.38,93.8,100.0,32,85.0,8.5,85.0,100.0,12,98.8,9.88,98.8,100.0,16,80.0,8.0,80.0,83.33,18,80.0,8.0,80.0,100.0,11
IC00355_after.pdf,1,group_b,7.8,0.78,7.8,10.34,0.2143,31,112,1,3,2,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\data\after\IC00355_after.pdf,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\data\experiments\results\parsed_cache\IC00355_after.json,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\data\experiments\results\group_b_IC00355_after_run_01\IC00355_after_group_b_IC00355_after_run_01_scored.json,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,18,46.7,4.67,46.7,100.0,11
IC00361_after.pdf,1,group_b,88.5,8.85,88.5,100.0,4.3393,31,112,28,29,96,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\data\after\IC00361_after.pdf,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\data\experiments\results\parsed_cache\IC00361_after.json,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\data\experiments\results\group_b_IC00361_after_run_01\IC00361_after_group_b_IC00361_after_run_01_scored.json,92.0,9.2,92.0,100.0,23,92.1,9.21,92.1,100.0,32,85.0,8.5,85.0,100.0,12,85.0,8.5,85.0,100.0,16,87.8,8.78,87.8,100.0,18,89.4,8.94,89.4,100.0,11
IC00362_after.pdf,1,group_b,92.6,9.26,92.6,100.0,4.7054,31,112,29,29,104,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\data\after\IC00362_after.pdf,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\data\experiments\results\parsed_cache\IC00362_after.json,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\data\experiments\results\group_b_IC00362_after_run_01\IC00362_after_group_b_IC00362_after_run_01_scored.json,100.0,10.0,100.0,100.0,23,97.5,9.75,97.5,100.0,32,93.3,9.33,93.3,100.0,12,87.5,8.75,87.5,100.0,16,92.2,9.22,92.2,100.0,18,85.0,8.5,85.0,100.0,11
IC00364_after.pdf,1,group_b,89.8,8.98,89.8,100.0,4.4018,31,112,28,29,90,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\data\after\IC00364_after.pdf,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\data\experiments\results\parsed_cache\IC00364_after.json,d:\MSc_AI\SWE_group_project\nlp_grant_coursework\data\experiments\results\group_b_IC00364_after_run_01\IC00364_after_group_b_IC00364_after_run_01_scored.json,90.0,9.0,90.0,100.0,23,97.5,9.75,97.5,100.0,32,80.0,8.0,80.0,100.0,12,100.0,10.0,100.0,100.0,16,91.1,9.11,91.1,100.0,18,80.0,8.0,80.0,100.0,11
