pdf_name,category,pipeline_overall_score_100,pipeline_general_score_100,pipeline_general_evidence_count,pipeline_proposed_research_score_100,pipeline_proposed_research_evidence_count,pipeline_training_development_score_100,pipeline_training_development_evidence_count,pipeline_sites_support_score_100,pipeline_sites_support_evidence_count,pipeline_wpcc_score_100,pipeline_wpcc_evidence_count,pipeline_application_form_score_100,pipeline_application_form_evidence_count
IC00001_DF_Doctoral.pdf,successful,89.5,90.0,29,97.5,31,86.7,12,95.0,17,87.8,26,80.0,3
IC00011.pdf,successful,85.6,96.0,6,91.2,22,78.3,8,75.0,4,82.2,17,91.1,3
IC00017.pdf,successful,9.2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,55.0,3
IC00029_RfPB.pdf,successful,82.1,69.4,28,87.5,40,0.0,3,77.5,15,91.1,21,85.0,3
IC00047.pdf,successful,92.2,90.0,29,97.5,32,98.3,14,90.0,15,87.8,24,89.4,3
IC00061.pdf,successful,27.0,0.0,0,34.2,12,0.0,0,0.0,0,71.1,16,56.7,3
IC00087_DCAF_Doctoral.pdf,successful,90.3,92.0,29,95.0,43,91.7,12,95.0,15,83.3,24,85.0,3
IC00091_AF_Postdoctoral.pdf,successful,88.4,96.0,29,95.0,40,80.0,15,90.0,14,80.0,25,89.4,3
IC00096.pdf,successful,86.3,90.0,29,86.7,42,80.0,15,93.8,18,82.2,24,85.0,3
IC00103.pdf,successful,89.0,98.0,30,94.2,43,98.3,15,80.0,18,74.4,25,89.4,3
IC00157_ACAF_Postdoctoral.pdf,successful,83.6,93.0,27,90.8,31,80.0,12,97.5,17,60.0,15,80.0,3
